Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Danger Attack","Dang3r","Danger Attack","Electro Power!","Playlist","GBKQU1899459","2esZKBnMyNpkvI8VOIAhZj"
"Colors","Killerwatts","Edge Of Time","Electro Power!","Playlist","GBKQU1737228","21t2aeBdnMEl2xVG4ORhP7"
"New Perspective","Vegas (Brazil)","New Perspective","Electro Power!","Playlist","GBKQU1846977","5xLy4jlwZOg6q2GIPPDVfn"
"Harmony","Hi Profile","Goa Beach, Vol. 26","Electro Power!","Playlist","GBBYB1501945","2o8BeOFUbSLPZpKZVJmGNY"
"Nemo","Devochka","Nemo","Electro Power!","Playlist","BXYMF1800001","4aRJBV15bfGqWYxYQzmc0J"
"Mosquito - Dang3r Remix","Neelix","Mosquito (Dang3r Remix)","Electro Power!","Playlist","DEKC41900013","1dEAcxKxf1rixNs7nTBatV"
"90 Million Degrees","GMS","90 Million Degrees","Electro Power!","Playlist","DKZVA1861947","72H560j4VziDl7zOJVkn22"
"Monks","Berg","Aurora","Electro Power!","Playlist","DEGA21602078","148KyQbBQnbJkx1uCki02A"
"Power Of God","Skazi","Spin","Electro Power!","Playlist","USA2P1547566","6fJwmJcK8tIC8KXx8V1wdo"
"The World That You Know - GMS Remix","Ace Ventura","The World That You Know (GMS Remix)","Electro Power!","Playlist","DKZVA1861996","3c19IAVFYHsY3d4Cfu2U9S"
"Pineapple X-Press - Ranji Remix","Audiomatic","Remixed","Electro Power!","Playlist","DEKC41600106","0UCwqjnbxf1GPjGCRpCUX9"
"Colors - UK Psychedelic Remix","Avalon","Colors (Killerwatts UK Psychedelic Remix)","Electro Power!","Playlist","DKZVA1780010","5iyzatiVME0zoQvP9Sq7Va"
"Liquid Hook","Captain Hook","Human Design","Electro Power!","Playlist","DKZVA1161008","5NuW9UhYl3q0dcIVqzRAu3"
"Take A Trip","Tristan","Stash Bag, Vol. 6","Electro Power!","Playlist","GBLV61720963","6HDUUP2LvQjsGCJ7TGNh6H"
"Nuke - Original Mix","Aura Vortex","Activation","Electro Power!","Playlist","GBKQU1665326","1CR3XtfPqnGA8Fi6hl4sJI"
"Libertad - Vegas (Brazil) Remix","Blizzard Music","Good Things","Electro Power!","Playlist","GBKQU1763541","0ts2pPula8kY2j8Upp2xwy"
"Colors Of The Rainbow","Gottinari","Colors Of The Rainbow","Electro Power!","Playlist","QM42K1755380","37mHXs1O05RmodWtDw19nv"
"Na Le","Omiki","Na Le","Electro Power!","Playlist","DEKC41800024","34HLm0LVMY1rYEUKQBZrVP"
"Breeze","Berg","Breeze","Electro Power!","Playlist","DEGA21802674","6KaEnhXKR6vSqqWzQOyqxE"
"Magia","Chapeleiro","Magia","Electro Power!","Playlist","GBLV61801698","60ySIcqjKbWXjjM52eWiD4"
"Pirate","Liu","Pirate","Electro Power!","Playlist","TCADC1745321","1JAqy8JxzsmMRq5jD2Oi49"
"Colors of the Rainbow - Fabio Fusco Remix","Sevenn","Colors of the Rainbow (Fabio Fusco Remix)","Electro Power!","Playlist","DEKC41800030","3W67VmLfRxAqYm6qnJuThk"
"Dancin","Dang3r","Dancin","Electro Power!","Playlist","TCAEG1950233","2qlnCPiuxxRHrV8mETdPnE"
"Party Don't Stop","Skazi","Party Don't Stop","Electro Power!","Playlist","DEKC41900001","7cs2HYRmufWfSRfpnNPCv6"
"Tomorrow","Capital Monkey","Tomorrow - Single","Electro Power!","Playlist","DEKC41400001","346EyByIOtfAgGjQg6CEEi"
"Echoes of The Universe - Dang3r Remix","Zanon","PROMOMIXTAPE001","Electro Power!","Playlist","GBKQU1759575","2L71QCxVnwfGkEG6WoNbgw"
"Pratigi - Blizzard Music Remix","Vegas (Brazil)","Pratigi (Blizzard Music Remix)","Electro Power!","Playlist","GBKQU1762369","7B427hoR2sf05HFpStTKNJ"
"Road to Dublin (ASOT 878)","WHITENO1SE","A State Of Trance Episode 878 [Hosted by Cosmic Gate & Vini Vici]","Electro Power!","Playlist","NLF711810004","00i4Kyk6cvRCvP8T0pkeQ5"
"Bola De Good","Mandragora","Disc 1","Electro Power!","Playlist","GBKQU1873062","6rUWHjl3ybvD45Iuqvgtqw"
"Bolghar","Dang3r","Bolghar","Electro Power!","Playlist","GBKQU1709031","2jqaTeLYqPMR1Fo0DnMx75"
"Walking In The Sun","Paranormal Attack","Walking In The Sun","Electro Power!","Playlist","GBKQU1752544","6w2GXLNuOpTJWhKognAvmc"
"Capital Noise - Rinkadink & Element Remix","Burn In Noise","Capital Noise (Rinkadink & Element Remix)","Electro Power!","Playlist","DKZVA1661087","2n9yRx2g4yqEhuXc4KpqPW"
"Answer From The Stars - Vini Vici vs. Bizzare Contact Remix","Vegas (Brazil)","Answer From The Stars (Vini Vici vs. Bizzare Contact Remix)","Electro Power!","Playlist","NLWV71700011","6wEEFHBgJoauVJp5XpVwg5"
"Eyes On You","Hi Profile","Eyes On You","Electro Power!","Playlist","GBLV61712787","0ZJnqGs5qJwiWrJwpbqmKq"
"Tango","Gottinari","Tango","Electro Power!","Playlist","GBKQU1790232","3HlulDzFOCtNz8irUbd9rZ"
"Sem Chão","Mandragora","Sem Chão","Electro Power!","Playlist","GBLV61642320","5irKKFoCUyKFq8rvtSBIYM"
"Rampage!","Aura Vortex","Rampage!","Electro Power!","Playlist","GBLV61715825","02GMmsfyR9SEH0AVLJyGUb"
"Sequence","Major7","Toxic Generation's Music","Electro Power!","Playlist","GBLV61604767","22T6UPu3Ynx2Nk3e1GNtyg"
"Chapati","UnderCover","Chapati","Electro Power!","Playlist","DEMH90900208","3goaIWpGERAPglBJKC0D3J"
"Deep Jungle Walk","Astrix","He.art","Electro Power!","Playlist","USA2P1611449","5gXKDmafOQ8i4lYr62wxTk"
"Casa Blanca","Major7","Casa Blanca","Electro Power!","Playlist","GBKQU1754588","0N7xGxnWoSqVvT5QpzUZ83"
"Imaginarium","Aura Vortex","Imaginarium","Electro Power!","Playlist","GBKQU1844128","1bVAr8MMfIX5RZ1SGPYaXu"
"Shiva Style","Mandragora","Salamandra","Electro Power!","Playlist","GBLV61637831","558E5qAFXCoeQx5kxY6PW9"
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack","Teriyaki Boyz","Tokyo Drift (Fast & Furious)","Electro Power!","Playlist","USUG10600159","0upFohXrGxIIAjyaJmCkMU"
"Nave Espacial - Radio Edit","Liu","Nave Espacial","Electro Power!","Playlist","BXH5F1800007","709F4UQ2uKplKvcD88xffa"
